,transform,param_SVM__kernel,param_SVM__C,param_SVM__gamma,param_SVM__coef0,param_SVM__degree,mean_test_f1,mean_test_precision,mean_test_recall,mean_test_accuracy
18,trunc_Bow_stopwords_stemming,rbf,200.0,1.0,,,0.9500160739401246,0.9562721177645228,0.9439252336448597,0.9501736111111111
74,trunc_Bow_stopwords_stemming,poly,2.0,1.0,0,4,0.9479257053010746,0.9479228774845421,0.9480789200415368,0.9477430555555554
2,trunc_Bow_stopwords_stemming,linear,20.0,,,,0.9401312396855978,0.9482628810595068,0.9321564555209415,0.9404513888888889
14,trunc_Bow_stopwords,rbf,20.0,1.0,,,0.9480298063857667,0.9491266268683337,0.9470404984423676,0.9479166666666666
66,trunc_Bow_stopwords,poly,2.0,1.0,0,2,0.9458433892298298,0.942708581099931,0.9491173416407062,0.9454861111111111
0,trunc_Bow_stopwords,linear,0.2,,,,0.9424258919083038,0.9441225018463172,0.940809968847352,0.9423611111111111
14,trunc_Bow,rbf,20.0,1.0,,,0.9517356187700695,0.9582622235327344,0.9453097957770855,0.9519097222222223
74,trunc_Bow,poly,2.0,1.0,0,4,0.9508552401718093,0.9509159339245444,0.9508480443059882,0.9506944444444444
1,trunc_Bow,linear,2.0,,,,0.9464648402975805,0.9536739026445696,0.9394254067151264,0.9467013888888888
102,LinguisticFeature,poly,20000.0,0.01,100.0,2,0.936585227831019,0.9330706863080964,0.9401614939482856,0.9361111111111112
3,LinguisticFeature,linear,200.0,,,,0.9352167347474468,0.9285507823590936,0.9420355676956874,0.9347222222222222
25,LinguisticFeature,rbf,2000.0,0.001,,,0.9343813825740227,0.9319937182178718,0.9368304861833737,0.9342013888888889
165,Bow_stopwords_stemming,poly,200.0,0.001,100.0,2,0.9576958094222882,0.9597436931881096,0.9556940117687782,0.9576388888888889
19,Bow_stopwords_stemming,rbf,200.0,0.1,,,0.9569740504502154,0.9597091954822791,0.9543094496365524,0.9569444444444445
2,Bow_stopwords_stemming,linear,20.0,,,,0.956926349677159,0.9606566863920785,0.9532710280373832,0.9569444444444444
48,Bow_stopwords,poly,0.2,0.01,10.0,3,0.9648792017046882,0.9599444557728284,0.9698857736240912,0.9645833333333332
1,Bow_stopwords,linear,2.0,,,,0.9632919449175829,0.9640254341835464,0.9626168224299065,0.9631944444444445
24,Bow_stopwords,rbf,2000.0,0.01,,,0.9624091965389164,0.9636292334698738,0.9612322602976807,0.962326388888889
50,Bow,poly,0.2,1.0,10.0,4,0.962386056447592,0.963891031903367,0.9608861197646243,0.9623263888888888
15,Bow,rbf,20.0,0.1,,,0.9620245796312826,0.963863132323895,0.9601938386985115,0.9619791666666666
1,Bow,linear,2.0,,,,0.9616521958739591,0.9641662299091545,0.9591554170993423,0.9616319444444444
